date,sma_50,sma_200,phase,crossover_date
2015-05-01,174.07738647460937,167.78484298706056,1,2014-10-16
2015-05-04,174.09438079833984,167.86179260253905,1,2014-10-16
2015-05-05,174.07150299072265,167.9204295349121,1,2014-10-16
2015-05-06,174.02431304931642,167.9770002746582,1,2014-10-16
2015-05-07,173.9939584350586,168.03349807739258,1,2014-10-16
2015-05-08,174.01363159179687,168.0996565246582,1,2014-10-16
2015-05-11,174.02841522216798,168.1615616607666,1,2014-10-16
2015-05-12,174.01059936523438,168.22466171264648,1,2014-10-16
2015-05-13,174.00790008544922,168.28759971618652,1,2014-10-16
2015-05-14,174.05651641845702,168.36316467285155,1,2014-10-16
2015-05-15,174.10515014648436,168.4395657348633,1,2014-10-16
2015-05-18,174.21395263671874,168.5347071838379,1,2014-10-16
2015-05-19,174.30730590820312,168.63198150634764,1,2014-10-16
2015-05-20,174.45429168701173,168.72291763305665,1,2014-10-16
2015-05-21,174.61959197998047,168.82416641235352,1,2014-10-16
2015-05-22,174.7332034301758,168.923041305542,1,2014-10-16
2015-05-26,174.8297055053711,169.01664024353028,1,2014-10-16
2015-05-27,174.91389862060547,169.10949676513673,1,2014-10-16
2015-05-28,175.004384765625,169.19905082702635,1,2014-10-16
2015-05-29,175.0313314819336,169.28420951843262,1,2014-10-16
2015-06-01,175.0813946533203,169.3657777404785,1,2014-10-16
2015-06-02,175.0972430419922,169.44268875122071,1,2014-10-16
2015-06-03,175.12927276611327,169.52209983825685,1,2014-10-16
2015-06-04,175.15112731933593,169.5873053741455,1,2014-10-16
2015-06-05,175.21802459716798,169.64677604675293,1,2014-10-16
2015-06-08,175.27157440185547,169.69868766784668,1,2014-10-16
2015-06-09,175.31678253173828,169.74809074401855,1,2014-10-16
2015-06-10,175.3618243408203,169.80919441223145,1,2014-10-16
2015-06-11,175.44857208251952,169.86898323059083,1,2014-10-16
2015-06-12,175.5204721069336,169.9214810180664,1,2014-10-16
2015-06-15,175.56501373291016,169.97055435180664,1,2014-10-16
2015-06-16,175.60538452148438,170.02483421325684,1,2014-10-16
2015-06-17,175.66060272216797,170.07818962097167,1,2014-10-16
2015-06-18,175.74067749023436,170.14108932495117,1,2014-10-16
2015-06-19,175.78964630126953,170.20050163269042,1,2014-10-16
2015-06-22,175.83770111083984,170.2656315612793,1,2014-10-16
2015-06-23,175.90412078857423,170.32769149780273,1,2014-10-16
2015-06-24,175.93805053710938,170.38543495178223,1,2014-10-16
2015-06-25,175.9455709838867,170.445715713501,1,2014-10-16
2015-06-26,175.95342193603517,170.50274642944336,1,2014-10-16
2015-06-29,175.92788482666015,170.54039207458496,1,2014-10-16
2015-06-30,175.87785888671874,170.58464836120606,1,2014-10-16
2015-07-01,175.85966522216796,170.6364363861084,1,2014-10-16
2015-07-02,175.82110321044922,170.6812631225586,1,2014-10-16
2015-07-06,175.76380798339844,170.72250732421875,1,2014-10-16
2015-07-07,175.72013092041016,170.76480186462402,1,2014-10-16
2015-07-08,175.63263061523438,170.7932179260254,1,2014-10-16
2015-07-09,175.54015502929687,170.8295849609375,1,2014-10-16
2015-07-10,175.50544372558593,170.8814717102051,1,2014-10-16
2015-07-13,175.54432006835938,170.9365550994873,1,2014-10-16
2015-07-14,175.5607489013672,171.0087484741211,1,2014-10-16
2015-07-15,175.56599517822266,171.07420677185058,1,2014-10-16
2015-07-16,175.63994140625,171.1482341003418,1,2014-10-16
2015-07-17,175.73125274658204,171.22516250610352,1,2014-10-16
2015-07-20,175.8105618286133,171.31357734680176,1,2014-10-16
2015-07-21,175.82991424560547,171.398348236084,1,2014-10-16
2015-07-22,175.85974365234375,171.47268943786622,1,2014-10-16
2015-07-23,175.88013519287108,171.54299346923827,1,2014-10-16
2015-07-24,175.8633154296875,171.6166731262207,1,2014-10-16
2015-07-27,175.78967834472655,171.67132530212402,1,2014-10-16
2015-07-28,175.75478240966797,171.75272598266602,1,2014-10-16
2015-07-29,175.7330160522461,171.8492458343506,1,2014-10-16
2015-07-30,175.71325439453125,171.9588995361328,1,2014-10-16
2015-07-31,175.69063201904297,172.06601501464843,1,2014-10-16
2015-08-03,175.6457653808594,172.17539909362793,1,2014-10-16
2015-08-04,175.60253326416014,172.2837257385254,1,2014-10-16
2015-08-05,175.60906829833985,172.385859375,1,2014-10-16
2015-08-06,175.55340759277342,172.473228225708,1,2014-10-16
2015-08-07,175.49504516601561,172.54335380554198,1,2014-10-16
2015-08-10,175.50262298583985,172.63015769958497,1,2014-10-16
2015-08-11,175.47117828369142,172.69974983215332,1,2014-10-16
2015-08-12,175.4474264526367,172.76419548034667,1,2014-10-16
2015-08-13,175.4099755859375,172.82866661071776,1,2014-10-16
2015-08-14,175.41512451171874,172.88703163146974,1,2014-10-16
2015-08-17,175.44589263916015,172.95153884887696,1,2014-10-16
2015-08-18,175.48795532226563,173.0082453918457,1,2014-10-16
2015-08-19,175.50269134521486,173.04858055114747,1,2014-10-16
2015-08-20,175.40280151367188,173.07023147583007,1,2014-10-16
2015-08-21,175.18864013671876,173.06904121398927,1,2014-10-16
2015-08-24,174.86186676025392,173.0276971435547,1,2014-10-16
2015-08-25,174.51272369384765,172.97366271972658,1,2014-10-16
2015-08-26,174.2650912475586,172.94897590637208,1,2014-10-16
2015-08-27,174.0924185180664,172.94180435180664,1,2014-10-16
2015-08-28,173.8833807373047,172.93384902954102,1,2014-10-16
2015-08-31,173.6631103515625,172.92005447387695,1,2014-10-16
2015-09-01,173.32583282470702,172.88058433532714,1,2014-10-16
2015-09-02,173.04705780029298,172.85616226196288,1,2014-10-16
2015-09-03,172.79644622802735,172.83179054260253,0,2015-09-03
2015-09-04,172.5069430541992,172.79014099121093,0,2015-09-03
2015-09-08,172.2992449951172,172.7701382446289,0,2015-09-03
2015-09-09,172.1210510253906,172.73758491516114,0,2015-09-03
2015-09-10,171.95341918945311,172.70493186950682,0,2015-09-03
2015-09-11,171.7730453491211,172.67361373901366,0,2015-09-03
2015-09-14,171.58361999511717,172.63985565185547,0,2015-09-03
2015-09-15,171.44515594482422,172.61417671203614,0,2015-09-03
2015-09-16,171.3137319946289,172.5975228881836,0,2015-09-03
2015-09-17,171.23326721191407,172.5849287414551,0,2015-09-03
2015-09-18,171.09188751220702,172.55316459655762,0,2015-09-03
2015-09-21,170.92427642822267,172.52235191345216,0,2015-09-03
2015-09-22,170.6753088378906,172.48174682617187,0,2015-09-03
2015-09-23,170.40586273193358,172.43843154907228,0,2015-09-03
2015-09-24,170.12579559326173,172.39790756225585,0,2015-09-03
2015-09-25,169.8165545654297,172.35775062561035,0,2015-09-03
2015-09-28,169.42274169921876,172.31087280273437,0,2015-09-03
2015-09-29,169.02893829345703,172.26020500183105,0,2015-09-03
2015-09-30,168.7083596801758,172.23794982910155,0,2015-09-03
2015-10-01,168.402578125,172.22349960327148,0,2015-09-03
2015-10-02,168.1651055908203,172.2277458190918,0,2015-09-03
2015-10-05,168.02264770507813,172.2305886077881,0,2015-09-03
2015-10-06,167.88901458740236,172.20996192932128,0,2015-09-03
2015-10-07,167.74010162353517,172.19252700805663,0,2015-09-03
2015-10-08,167.59738037109375,172.17873046875,0,2015-09-03
2015-10-09,167.45584259033203,172.16427635192872,0,2015-09-03
2015-10-12,167.32287017822264,172.15054008483887,0,2015-09-03
2015-10-13,167.18039825439453,172.12867164611816,0,2015-09-03
2015-10-14,167.02862396240235,172.10159660339355,0,2015-09-03
2015-10-15,166.91684692382813,172.09206268310547,0,2015-09-03
2015-10-16,166.849404296875,172.09495712280273,0,2015-09-03
2015-10-19,166.79035247802733,172.0987297821045,0,2015-09-03
2015-10-20,166.6829995727539,172.11681106567383,0,2015-09-03
2015-10-21,166.58626373291017,172.13747344970704,0,2015-09-03
2015-10-22,166.54279876708983,172.1621620941162,0,2015-09-03
2015-10-23,166.54160430908203,172.18142349243163,0,2015-09-03
2015-10-26,166.51907592773438,172.20538711547852,0,2015-09-03
2015-10-27,166.47019561767578,172.2343093109131,0,2015-09-03
2015-10-28,166.47114013671876,172.27549766540528,0,2015-09-03
2015-10-29,166.49788940429687,172.32124572753906,0,2015-09-03
2015-10-30,166.58239288330077,172.3708422088623,0,2015-09-03
2015-11-02,166.81127563476562,172.4199649810791,0,2015-09-03
2015-11-03,167.19007568359376,172.4698722076416,0,2015-09-03
2015-11-04,167.5954739379883,172.51284843444824,0,2015-09-03
2015-11-05,167.87680603027343,172.54240104675293,0,2015-09-03
2015-11-06,168.07565246582033,172.57618209838867,0,2015-09-03
2015-11-09,168.24130249023438,172.59971321105957,0,2015-09-03
2015-11-10,168.44203186035156,172.6365184020996,0,2015-09-03
2015-11-11,168.72784637451173,172.6806642150879,0,2015-09-03
2015-11-12,168.9037762451172,172.70491218566895,0,2015-09-03
2015-11-13,169.03860260009765,172.73001724243164,0,2015-09-03
2015-11-16,169.2749493408203,172.757841796875,0,2015-09-03
2015-11-17,169.42763275146484,172.77291061401368,0,2015-09-03
2015-11-18,169.6795037841797,172.80495086669922,0,2015-09-03
2015-11-19,169.91057281494142,172.827679977417,0,2015-09-03
2015-11-20,170.1395294189453,172.85597717285157,0,2015-09-03
2015-11-23,170.37667846679688,172.8870832824707,0,2015-09-03
2015-11-24,170.57747497558594,172.91031761169432,0,2015-09-03
2015-11-25,170.7489337158203,172.9329271697998,0,2015-09-03
2015-11-27,170.93198150634765,172.948285446167,0,2015-09-03
