date,open,high,low,close,volume
2017-02-01,63.83000183105469,63.939998626708984,63.45000076293945,63.45000076293945,116
2017-02-02,64.19999694824219,64.44999694824219,64.19999694824219,64.44999694824219,94
2017-02-03,64.44999694824219,64.44999694824219,64.44999694824219,64.44999694824219,0
2017-02-06,63.0099983215332,63.0099983215332,63.0,63.0,250
2017-02-07,64.0,64.0,59.650001525878906,62.459999084472656,1409
2017-02-08,60.54999923706055,60.79999923706055,60.54999923706055,60.79999923706055,115
2017-02-09,60.79999923706055,60.79999923706055,60.79999923706055,60.79999923706055,0
2017-02-10,61.0099983215332,61.20000076293945,60.439998626708984,61.20000076293945,314
2017-02-13,61.79999923706055,61.79999923706055,61.79999923706055,61.79999923706055,124
2017-02-14,62.959999084472656,62.959999084472656,62.959999084472656,62.959999084472656,101
2017-02-15,62.97999954223633,62.97999954223633,62.97999954223633,62.97999954223633,48
2017-02-16,62.97999954223633,62.97999954223633,61.83000183105469,61.83000183105469,41
2017-02-17,62.970001220703125,62.970001220703125,62.970001220703125,62.970001220703125,39
2017-02-20,62.970001220703125,63.0,62.900001525878906,62.900001525878906,53
2017-02-21,63.0,63.0,63.0,63.0,4
2017-02-22,62.5,63.0,62.5,63.0,21
2017-02-23,63.0,63.0,63.0,63.0,96
2017-02-24,63.209999084472656,63.209999084472656,63.0,63.0,146
2017-02-27,63.849998474121094,63.97999954223633,62.400001525878906,63.97999954223633,182
2017-02-28,63.900001525878906,63.900001525878906,63.900001525878906,63.900001525878906,45
2017-03-01,63.97999954223633,64.0,63.97999954223633,64.0,45
2017-03-02,64.44999694824219,64.5999984741211,64.44999694824219,64.5,377
2017-03-03,64.5999984741211,64.5999984741211,63.20000076293945,64.30000305175781,826
2017-03-06,64.48999786376953,64.48999786376953,63.5099983215332,63.9900016784668,425
2017-03-07,63.9900016784668,63.9900016784668,63.9900016784668,63.9900016784668,0
2017-03-08,63.9900016784668,64.41999816894531,63.9900016784668,64.41999816894531,138
2017-03-09,64.54000091552734,64.80000305175781,64.54000091552734,64.80000305175781,413
2017-03-10,65.0,65.9000015258789,65.0,65.75,846
2017-03-13,64.0,65.73999786376953,64.0,65.0,110
2017-03-14,64.01000213623047,64.5199966430664,64.0,64.5,313
2017-03-15,65.5999984741211,65.5999984741211,65.5999984741211,65.5999984741211,30
2017-03-16,65.6500015258789,66.5,65.6500015258789,66.5,211
2017-03-17,66.4000015258789,66.5,66.4000015258789,66.5,100
2017-03-20,66.44999694824219,66.55000305175781,66.44999694824219,66.55000305175781,700
2017-03-21,66.55000305175781,68.87999725341797,66.55000305175781,68.87999725341797,1009
2017-03-22,69.0,69.0,68.44999694824219,68.44999694824219,161
2017-03-23,67.5,67.5,67.0,67.0,639
2017-03-24,66.9000015258789,67.5999984741211,66.9000015258789,67.5999984741211,370
2017-03-27,67.5999984741211,67.5999984741211,67.5999984741211,67.5999984741211,0
2017-03-28,67.44999694824219,67.44999694824219,67.05999755859375,67.05999755859375,764
2017-03-29,67.33999633789062,67.33999633789062,66.75,67.0999984741211,157
2017-03-30,66.80999755859375,67.0,65.51000213623047,67.0,558
2017-03-31,67.0,67.0,67.0,67.0,0
2017-04-03,67.0999984741211,67.5,67.01000213623047,67.01000213623047,494
2017-04-04,67.87000274658203,67.87000274658203,67.87000274658203,67.87000274658203,16
2017-04-05,67.87999725341797,67.87999725341797,67.87999725341797,67.87999725341797,30
2017-04-06,68.0,68.25,68.0,68.25,320
2017-04-07,68.5,68.5,68.25,68.25,113
2017-04-10,68.48999786376953,68.5,68.4800033569336,68.5,385
2017-04-11,68.5,68.5,68.5,68.5,111
2017-04-12,68.5,68.8499984741211,68.3499984741211,68.3499984741211,417
2017-04-13,68.3499984741211,68.3499984741211,68.3499984741211,68.3499984741211,212
2017-04-18,68.3499984741211,68.3499984741211,68.3499984741211,68.3499984741211,150
2017-04-19,68.3499984741211,68.3499984741211,68.0,68.3499984741211,655
2017-04-20,68.3499984741211,68.3499984741211,68.05000305175781,68.05000305175781,386
2017-04-21,68.3499984741211,68.8499984741211,68.3499984741211,68.8499984741211,622
2017-04-24,68.8499984741211,69.5999984741211,68.0199966430664,68.0199966430664,883
2017-04-25,68.80000305175781,71.0,68.2699966430664,71.0,1349
2017-04-26,66.5,68.0,66.5,67.69999694824219,2308
2017-04-27,67.4000015258789,67.4000015258789,66.9000015258789,66.9000015258789,550
2017-04-28,66.75,67.0,66.0,66.0,536
2017-05-02,65.0,65.0,63.5,63.5099983215332,646
2017-05-03,63.0099983215332,63.0099983215332,62.790000915527344,62.790000915527344,60
2017-05-04,62.790000915527344,62.790000915527344,62.099998474121094,62.099998474121094,450
2017-05-05,62.0099983215332,62.04999923706055,62.0099983215332,62.0099983215332,488
2017-05-08,61.5,61.5,61.5,61.5,60
2017-05-09,61.20000076293945,62.25,61.20000076293945,62.25,471
2017-05-10,63.2400016784668,63.25,63.2400016784668,63.25,100
2017-05-11,63.25,63.25,63.25,63.25,0
2017-05-12,63.25,63.25,63.25,63.25,0
2017-05-15,61.7599983215332,61.810001373291016,60.9900016784668,61.0,858
2017-05-16,61.9900016784668,62.0,61.9900016784668,62.0,457
2017-05-17,62.0,62.41999816894531,61.52000045776367,62.41999816894531,115
2017-05-18,61.0099983215332,61.0099983215332,61.0099983215332,61.0099983215332,7
2017-05-19,61.15999984741211,63.38999938964844,61.15999984741211,63.38999938964844,736
2017-05-22,63.38999938964844,63.38999938964844,63.38999938964844,63.38999938964844,0
2017-05-23,63.38999938964844,63.38999938964844,63.38999938964844,63.38999938964844,0
2017-05-24,61.220001220703125,61.220001220703125,61.220001220703125,61.220001220703125,10
2017-05-25,61.220001220703125,61.220001220703125,61.220001220703125,61.220001220703125,0
2017-05-26,62.880001068115234,62.880001068115234,62.880001068115234,62.880001068115234,170
2017-05-29,62.0099983215332,62.0099983215332,62.0099983215332,62.0099983215332,80
2017-05-30,62.0099983215332,62.0099983215332,62.0099983215332,62.0099983215332,0
2017-05-31,62.0099983215332,62.0099983215332,62.0099983215332,62.0099983215332,0
2017-06-01,63.599998474121094,64.04000091552734,63.2400016784668,64.0,1342
2017-06-02,64.0,64.0,64.0,64.0,0
2017-06-05,64.0,64.0,64.0,64.0,0
2017-06-06,64.0,64.0,64.0,64.0,0
2017-06-07,64.01000213623047,64.01000213623047,64.01000213623047,64.01000213623047,100
2017-06-08,64.5,66.0,64.5,66.0,732
2017-06-09,66.12999725341797,66.12999725341797,65.5,65.5,514
2017-06-12,65.5,65.5,65.5,65.5,1
2017-06-13,65.08999633789062,65.08999633789062,62.599998474121094,63.5,672
2017-06-14,64.5,64.5,64.5,64.5,11
2017-06-15,64.5,65.13999938964844,64.33999633789062,64.33999633789062,105
2017-06-16,64.0,64.0,64.0,64.0,84
2017-06-19,62.91999816894531,62.91999816894531,62.91999816894531,62.91999816894531,310
2017-06-20,62.91999816894531,62.91999816894531,62.91999816894531,62.91999816894531,0
2017-06-21,63.0,63.0,63.0,63.0,6
2017-06-22,64.0,65.12999725341797,64.0,65.12999725341797,428
2017-06-23,65.5,66.87000274658203,65.5,66.87000274658203,178
2017-06-26,66.87000274658203,66.87000274658203,66.87000274658203,66.87000274658203,0
2017-06-27,65.83999633789062,65.83999633789062,65.83999633789062,65.83999633789062,67
2017-06-28,65.02999877929688,67.0,65.0,65.0,1572
2017-06-29,65.5,65.5,65.5,65.5,29
2017-06-30,64.0199966430664,64.5,64.0199966430664,64.5,30
2017-07-03,64.5,64.5,64.5,64.5,0
2017-07-04,64.5,64.5,64.5,64.5,0
2017-07-05,63.52000045776367,63.900001525878906,63.5099983215332,63.5099983215332,430
2017-07-06,63.5099983215332,63.77000045776367,63.5099983215332,63.5099983215332,100
2017-07-07,63.5099983215332,63.5099983215332,63.5099983215332,63.5099983215332,0
2017-07-10,64.0,64.0,63.5,63.5,15
2017-07-11,63.5,63.5,63.5,63.5,0
2017-07-12,63.5,63.5,63.5,63.5,0
2017-07-13,63.5,63.5,63.5,63.5,0
2017-07-14,63.29999923706055,65.05000305175781,63.29999923706055,64.68000030517578,32
2017-07-17,64.68000030517578,64.68000030517578,64.68000030517578,64.68000030517578,0
2017-07-18,64.29000091552734,65.05000305175781,64.29000091552734,65.05000305175781,460
2017-07-19,65.79000091552734,65.80000305175781,64.5,64.5,200
2017-07-20,65.75,65.80000305175781,64.05999755859375,64.3499984741211,917
2017-07-21,65.5,65.80000305175781,64.6500015258789,64.6500015258789,100
2017-07-24,64.6500015258789,64.6500015258789,64.6500015258789,64.6500015258789,0
2017-07-25,66.0,66.80000305175781,66.0,66.3499984741211,300
2017-07-26,66.3499984741211,66.3499984741211,66.3499984741211,66.3499984741211,0
2017-07-27,64.8499984741211,65.80000305175781,64.8499984741211,65.77999877929688,225
2017-07-28,66.63999938964844,67.69000244140625,66.08000183105469,66.08000183105469,217
2017-07-31,66.08000183105469,66.08000183105469,66.08000183105469,66.08000183105469,0
2017-08-01,69.19999694824219,69.19999694824219,67.55000305175781,67.55000305175781,100
2017-08-02,67.55000305175781,67.55000305175781,67.55000305175781,67.55000305175781,0
2017-08-03,68.38999938964844,68.38999938964844,67.62999725341797,67.62999725341797,300
2017-08-04,67.26000213623047,68.80000305175781,67.26000213623047,67.63999938964844,35
2017-08-07,67.9800033569336,67.9800033569336,67.77999877929688,67.77999877929688,3
2017-08-08,67.98999786376953,67.98999786376953,67.54000091552734,67.54000091552734,25
2017-08-09,67.98999786376953,67.98999786376953,66.0,66.29000091552734,432
2017-08-10,65.80999755859375,67.9000015258789,65.80999755859375,67.8499984741211,136
2017-08-11,67.19000244140625,67.19999694824219,65.80999755859375,67.19999694824219,72
2017-08-14,65.5199966430664,65.5199966430664,65.37000274658203,65.37000274658203,42
2017-08-15,65.37000274658203,65.37000274658203,65.37000274658203,65.37000274658203,0
2017-08-16,64.66000366210938,64.69999694824219,64.27999877929688,64.27999877929688,188
